stop_name,stop_lat,stop_lon,stop_desc
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn,11.0032322,106.6757822,Lượt đi
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn,11.003245,106.675654,Lượt về
Ủy Ban Nhân Dân phường Phú Mỹ,11.011197,106.676375,Lượt về
Ủy Ban Nhân Dân phường Phú Mỹ,11.011196,106.676513,Lượt đi
Phòng khám Đa khoa Khu vực Phú Mỹ,11.035819,106.682281,Lượt về
Phòng khám Đa khoa Khu vực Phú Mỹ,11.0357851,106.6824131,Lượt đi
Unitown - Lê Hoàn,11.071047,106.685606,Lượt đi
Unitown - Lê Hoàn,11.070958,106.685335,Lượt về
Cổng VSIP 2,11.073224,106.684795,Lượt về
Cổng VSIP 2,11.073229,106.68497,Lượt đi
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9857346,106.6656242,Lượt về
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9858344,106.6658682,Lượt đi
MIDORI PARK,11.068816,106.677436,Lượt đi
MIDORI PARK,11.0688573,106.6770981,Lượt về
Chợ Hòa Lợi,11.07713,106.6746204,Lượt về
Chợ Hòa Lợi,11.0771814,106.6748053,Lượt đi
Nhà ở an sinh xã hội Hòa Lợi,11.0839438,106.6730673,Lượt về
Nhà ở an sinh xã hội Hòa Lợi,11.0839917,106.6732503,Lượt đi
VSIP2 Dân Chủ - Vành Đai 1,11.084776,106.675501,Lượt đi
VSIP2 Dân Chủ - Vành Đai 1,11.0848774,106.67547,Lượt về
VSIP2 Dân Chủ - Thống Nhất,11.086236,106.681334,Lượt về
VSIP2 Dân Chủ - Thống Nhất,11.086101,106.681365,Lượt đi
VSIP2 Thống Nhất - Đường số 6,11.089439,106.681251,Lượt đi
VSIP2 Thống Nhất - Đường số 6,11.089417,106.681115,Lượt về
VSIP2 Thống Nhất - Đường số 7,11.092152,106.6804814,Lượt về
VSIP2 Thống Nhất - Đường số 7,11.09218,106.680632,Lượt đi
VSIP2 Thống Nhất - Dân Chủ,11.085568,106.682152,Lượt đi
VSIP2 Thống Nhất - Dân Chủ,11.08555,106.682014,Lượt về
VSIP2 Thống Nhất - Đường số 2,11.077648,106.683996,Lượt đi
VSIP2 Thống Nhất - Đường số 2,11.077623,106.683823,Lượt về
