route,dayoff,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14,station15,station16,station17,station18,station19,station20,station21,station22,station23,station24,station25,station26,station27,station28,station29,station30,station31
51,TRUE,13:30,13:32,13:33,13:35,13:38,13:38,13:40,13:42,13:44,13:46,,13:47,13:48,13:49,13:50,13:51,13:53,13:55,13:56,13:57,13:58,13:59,14:00,14:01,14:02,14:03,14:05,14:05,14:07,14:12,
55,TRUE,13:45,,,,,,,,,,13:48,13:52,13:53,13:54,13:55,13:56,13:58,14:00,14:01,14:02,14:03,14:04,,,,14:06,14:08,14:08,14:10,14:15,
51,TRUE,14:00,14:02,14:03,14:05,14:08,14:08,14:10,14:12,14:14,14:16,,14:17,14:18,14:19,14:20,14:21,14:23,14:25,14:26,14:27,14:28,14:29,14:30,14:31,14:32,14:33,14:35,14:35,14:37,14:42,
51,TRUE,14:30,14:32,14:33,14:35,14:38,14:38,14:40,14:42,14:44,14:46,,14:47,14:48,14:49,14:50,14:51,14:53,14:55,14:56,14:57,14:43,14:44,14:45,14:46,14:47,14:48,14:50,14:50,14:52,14:57,
55,TRUE,14:45,,,,,,,,,,14:48,14:52,14:53,14:54,14:55,14:56,14:58,15:00,15:01,15:02,15:03,15:04,,,,15:06,15:08,15:08,15:10,15:15,
51,TRUE,15:00,15:02,15:03,15:05,15:08,15:08,15:10,15:12,15:14,15:16,,15:17,15:18,15:19,15:20,15:21,15:23,15:25,15:26,15:27,15:28,15:29,15:30,15:31,15:32,15:33,15:35,15:35,15:37,15:42,
51,TRUE,15:30,15:32,15:33,15:35,15:38,15:38,15:40,15:42,15:44,15:46,,15:47,15:48,15:49,15:50,15:51,15:53,15:55,15:56,15:57,15:58,15:59,16:00,16:01,16:02,16:03,16:05,16:05,16:07,16:12,
55,TRUE,15:45,,,,,,,,,,15:48,15:52,15:53,15:54,15:55,15:56,15:58,16:00,16:01,16:02,16:03,16:04,,,,16:06,16:08,16:08,16:10,16:15,
51,TRUE,16:00,16:02,16:03,16:05,16:08,16:08,16:10,16:12,16:14,16:16,,16:17,16:18,16:19,16:20,16:21,16:23,16:25,16:26,16:27,16:28,16:29,16:30,16:31,16:32,16:33,16:35,16:35,16:37,16:42,
51,TRUE,16:30,16:32,16:33,16:35,16:38,16:38,16:40,16:42,16:44,16:46,,16:47,16:48,16:49,16:50,16:51,16:53,16:55,16:56,16:57,16:58,16:59,17:00,17:01,17:02,17:03,17:05,17:05,17:07,17:12,
51,TRUE,17:00,17:02,17:03,17:05,17:08,17:08,17:10,17:12,17:14,17:16,,17:17,17:18,17:19,17:20,17:21,17:23,17:25,17:26,17:27,17:28,17:29,17:30,17:31,17:32,17:33,17:35,17:35,17:37,17:42,
52,TRUE,17:30,17:32,17:33,17:35,17:38,17:38,17:40,17:42,17:44,17:46,,17:47,17:48,17:49,17:50,17:51,17:53,17:55,17:56,17:57,17:58,17:59,18:00,18:01,18:02,18:03,18:05,,,,
52,TRUE,18:00,18:02,18:03,18:05,18:08,18:08,18:10,18:12,18:14,18:16,,18:17,18:18,18:19,18:20,18:21,18:23,18:25,18:26,18:27,18:28,18:29,18:30,18:31,18:32,18:33,18:35,,,,
52,TRUE,18:30,18:32,18:33,18:35,18:38,18:38,18:40,18:42,18:44,18:46,,18:47,18:48,18:49,18:50,18:51,18:53,18:55,18:56,18:57,18:58,18:59,19:00,19:01,19:02,19:03,19:05,,,,
52,TRUE,19:00,19:02,19:03,19:05,19:08,19:08,19:10,19:12,19:14,19:16,,19:17,19:18,19:19,19:20,19:21,19:23,19:25,19:26,19:27,19:28,19:29,19:30,19:31,19:32,19:33,19:35,,,,
52,TRUE,19:30,19:32,19:33,19:35,19:38,19:38,19:40,19:42,19:44,19:46,,19:47,19:48,19:49,19:50,19:51,19:53,19:55,19:56,19:57,19:58,19:59,20:00,20:01,20:02,20:03,20:05,,,,
52,TRUE,20:00,20:02,20:03,20:05,20:08,20:08,20:10,20:12,20:14,20:16,,20:17,20:18,20:19,20:20,20:21,20:23,20:25,20:26,20:27,20:28,20:29,20:30,20:31,20:32,20:33,20:35,,,,
