 route_id ,                 stop_name                  , arrival_time , monday , tuesday , wednesday , thursday , friday , saturday , sunday ,    date    , service_id 
39, VSIP2 Thống Nhất - Đường số 6              , 07:31:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 08:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 09:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 10:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 10:51:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 11:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 12:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 13:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 14:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 15:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 16:16:00     ,1,1,1,1,1,1,1,            ,1
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-09-02 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-05-01 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-04-30 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2019-02-20 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:31:00     ,1,1,1,1,1,0,0, 2018-04-25 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-19 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-18 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-17 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-16 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-15 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-02-14 ,3
39, VSIP2 Thống Nhất - Đường số 6              , 16:46:00     ,1,1,1,1,1,0,0, 2018-01-01 ,3
